name,name_punch,name_gov,Twitter Handle,St/Dis,Party,progressive_score,state_tilt,rank,score
"Lee, Barbara","Lee, Barbara","Lee, Barbara",RepBarbaraLee,CA13,D,97.59,Strong Dem,#436,0.0
"Lee, Susie","Lee, Susie","Lee, Susie",RepSusieLee,NV03,D,93.61,Swing,#231,0.41
"Leger Fernandez, Teresa","Leger Fernandez, Teresa",,RepTeresaLF,NM03,D,97.79,Strong Dem,,
"Lesko, Debbie","Lesko, Debbie","Lesko, Debbie",RepDLesko,AZ08,R,1.65,Strong Rep,#7,0.91
"Letlow, Julia","Letlow, Julia",,repjulialetlow,LA05,R,4.11,Strong Rep,,
"Levin, Andy","Levin, Andy","Levin, Andy",RepAndyLevin,MI09,D,99.66,Strong Dem,#394,0.19
"Levin, Mike","Levin, Mike","Levin, Mike",RepMikeLevin,CA49,D,96.74,Strong Dem,#326,0.28
"Lieu, Ted","Lieu, Ted","Lieu, Ted",RepTedLieu,CA33,D,96.63,Strong Dem,#368,0.23
"Lofgren, Zoe","Lofgren, Zoe","Lofgren, Zoe",RepZoeLofgren,CA19,D,92.81,Strong Dem,#342,0.26
"Long, Billy","Long, Billy","Long, Billy",USRepLong,MO07,R,2.45,Strong Rep,#82,0.73
"Loudermilk, Barry","Loudermilk, Barry","Loudermilk, Barry",RepLoudermilk,GA11,R,1.51,Strong Rep,#87,0.72
"Lowenthal, Alan","Lowenthal, Alan","Lowenthal, Alan",RepLowenthal,CA47,D,98.21,Strong Dem,#417,0.13
"Lucas, Frank","Lucas, Frank","Lucas, Frank",RepFrankLucas,OK03,R,5.07,Strong Rep,#169,0.6
"Luetkemeyer, Blaine","Luetkemeyer, Blaine","Luetkemeyer, Blaine",RepBlaine,MO03,R,3.32,Strong Rep,#62,0.75
"Luria, Elaine","Luria, Elaine","Luria, Elaine",RepElaineLuria,VA02,D,90.66,Swing,#220,0.44
"Lynch, Stephen","Lynch, Stephen","Lynch, Stephen",RepStephenLynch,MA08,D,91.81,Strong Dem,#353,0.25
"Mace, Nancy","Mace, Nancy",,RepNancyMace,SC01,R,11.17,Leans Rep,,
"Malinowski, Tom","Malinowski, Tom","Malinowski, Tom",RepMalinowski,NJ07,D,95.89,Leans Dem,#252,0.36
"Malliotakis, Nicole","Malliotakis, Nicole",,RepMalliotakis,NY11,R,12.94,Strong Rep,,
"Maloney, Carolyn","Maloney, Carolyn","Maloney, Carolyn",RepMaloney,NY12,D,93.16,Strong Dem,#404,0.17
"Maloney, Sean","Maloney, Sean","Maloney, Sean",RepSeanMaloney,NY18,D,88.24,Swing,#304,0.3
"Mann, Tracey","Mann, Tracey",,RepMann,KS01,R,0.92,Strong Rep,,
"Manning, Kathy","Manning, Kathy",,RepKManning,NC06,D,95.2,Strong Dem,,
"Massie, Thomas","Massie, Thomas","Massie, Thomas",RepThomasMassie,KY04,R,13.19,Strong Rep,#197,0.52
"Mast, Brian","Mast, Brian","Mast, Brian",RepBrianMast,FL18,R,9.15,Strong Rep,#85,0.72
"Matsui, Doris","Matsui, Doris","Matsui, Doris",DorisMatsui,CA06,D,96.45,Strong Dem,#346,0.25
"McBath, Lucy","McBath, Lucy","Mcbath, Lucy",RepLucyMcBath,GA06,D,94.56,Leans Dem,#243,0.37
"McCarthy, Kevin","McCarthy, Kevin","Mccarthy, Kevin",GOPLeader,CA23,R,3.15,Strong Rep,#215,0.45
"McCaul, Michael","McCaul, Michael","Mccaul, Michael",RepMcCaul,TX10,R,4.45,Leans Rep,#135,0.66
"McClain, Lisa","McClain, Lisa",,RepLisaMcClain,MI10,R,2.59,Strong Rep,,
"McClintock, Tom","McClintock, Tom","Mcclintock, Tom",RepMcClintock,CA04,R,5.34,Strong Rep,#122,0.67
"McCollum, Betty","McCollum, Betty","Mccollum, Betty",BettyMcCollum04,MN04,D,95.2,Strong Dem,#376,0.22
"McEachin, A.","McEachin, Donald","Mceachin, Donald",RepMcEachin,VA04,D,95.36,Strong Dem,#357,0.24
"McGovern, James","McGovern, Jim","Mcgovern, James",RepMcGovern,MA02,D,97.53,Strong Dem,#411,0.15
"McHenry, Patrick","McHenry, Patrick","Mchenry, Patrick",PatrickMcHenry,NC10,R,2.77,Strong Rep,#179,0.57
"McKinley, David","McKinley, David","Mckinley, David",RepMcKinley,WV01,R,8.9,Strong Rep,#109,0.69
"McNerney, Jerry","McNerney, Jerry","Mcnerney, Jerry",RepMcNerney,CA09,D,91.91,Strong Dem,#365,0.23
"Meeks, Gregory","Meeks, Gregory","Meeks, Gregory",RepGregoryMeeks,NY05,D,92.5,Strong Dem,#383,0.21
"Meijer, Peter","Meijer, Peter",,RepMeijer,MI03,R,16.27,Leans Rep,,
"Meng, Grace","Meng, Grace","Meng, Grace",RepGraceMeng,NY06,D,96.4,Strong Dem,#387,0.2
"Meuser, Daniel","Meuser, Dan","Meuser, Daniel",RepMeuser,PA09,R,3.45,Strong Rep,#91,0.72
"Mfume, Kweisi","Mfume, Kweisi","Mfume, Kweisi",RepKweisiMfume,MD07,D,94.63,Strong Dem,#266,0.34
"Miller, Carol","Miller, Carol","Miller, Carol",RepCarolMiller,WV03,R,2.64,Strong Rep,#103,0.7
"Miller, Mary","Miller, Mary",,RepMaryMiller,IL15,R,2.75,Strong Rep,,
"Miller-Meeks, Mariannette","Miller-Meeks, Mariannette",,RepMMM,IA02,R,9.44,Leans Rep,,
"Moolenaar, John","Moolenaar, John","Moolenaar, John",RepMoolenaar,MI04,R,3.98,Strong Rep,#89,0.72
"Mooney, Alexander","Mooney, Alex","Mooney, Alexander",RepAlexMooney,WV02,R,3.96,Strong Rep,#5,0.92
"Moore, Barry","Moore, Barry",,RepBarryMoore,AL02,R,1.31,Strong Rep,,
"Moore, Blake","Moore, Blake",,RepBlakeMoore,UT01,R,6.31,Strong Rep,,
"Moore, Gwen","Moore, Gwen","Moore, Gwen",RepGwenMoore,WI04,D,97.16,Strong Dem,#418,0.13
"Morelle, Joe","Morelle, Joseph","Morelle, Joseph",RepJoeMorelle,NY25,D,96.22,Strong Dem,#322,0.28
"Moulton, Seth","Moulton, Seth","Moulton, Seth",teammoulton,MA06,D,93.92,Strong Dem,#274,0.34
"Mrvan, Frank","Mrvan, Frank",,RepMrvan,IN01,D,95.2,Leans Dem,,
"Mullin, Markwayne","Mullin, Markwayne","Mullin, Markwayne",RepMullin,OK02,R,2.23,Strong Rep,#97,0.7
"Murphy, Gregory","Murphy, Greg","Murphy, Gregory",RepGregMurphy,NC03,R,3.06,Strong Rep,#127,0.67
"Murphy, Stephanie","Murphy, Stephanie","Murphy, Stephanie",RepStephMurphy,FL07,D,86.51,Leans Dem,#212,0.46
"Nadler, Jerrold","Nadler, Jerry","Nadler, Jerrold",RepJerryNadler,NY10,D,96.77,Strong Dem,#407,0.15
"Napolitano, Grace","Napolitano, Grace","Napolitano, Grace",gracenapolitano,CA32,D,95.95,Strong Dem,#402,0.17
"Neal, Richard","Neal, Richard","Neal, Richard",RepRichardNeal,MA01,D,93.07,Strong Dem,#289,0.3
"Neguse, Joe","Neguse, Joe","Neguse, Joe",RepJoeNeguse,CO02,D,98.74,Strong Dem,#307,0.29
"Nehls, Troy","Nehls, Troy",,RepTroyNehls,TX22,R,1.5,Swing,,
"Newhouse, Dan","Newhouse, Dan","Newhouse, Dan",RepNewhouse,WA04,R,7.15,Strong Rep,#83,0.72
"Newman, Marie","Newman, Marie",,RepMarieNewman,IL03,D,99.26,Strong Dem,,
"Norcross, Donald","Norcross, Donald","Norcross, Donald",DonaldNorcross,NJ01,D,94.57,Strong Dem,#253,0.35
"Norman, Ralph","Norman, Ralph","Norman, Ralph",RepRalphNorman,SC05,R,1.84,Strong Rep,#1,1.0
"Norton, Eleanor",,,EleanorNorton,DC00,D,,,,
"Nunes, Devin","Conway, Connie",,RepDevinNunes,CA22,R,6.98,Leans Rep,,
"Obernolte, Jay","Obernolte, Jay",,JayObernolte,CA08,R,9.59,Strong Rep,,
"Ocasio-Cortez, Alexandria","Ocasio-Cortez, Alexandria",,RepAOC,NY14,D,96.73,Strong Dem,,
"O'Halleran, Tom","O'Halleran, Tom",,RepOHalleran,AZ01,D,89.05,Swing,,
"Omar, Ilhan","Omar, Ilhan","Omar, Ilhan",Ilhan,MN05,D,97.62,Strong Dem,#425,0.1
"Owens, Burgess","Owens, Burgess",,RepBurgessOwens,UT04,R,3.89,Strong Rep,,
"Palazzo, Steven","Palazzo, Steven","Palazzo, Steven",CongPalazzo,MS04,R,2.68,Strong Rep,#99,0.7
"Pallone, Frank","Pallone, Frank","Pallone, Frank",FrankPallone,NJ06,D,93.62,Strong Dem,#369,0.22
"Palmer, Gary","Palmer, Gary","Palmer, Gary",USRepGaryPalmer,AL06,R,1.17,Strong Rep,#147,0.65
"Panetta, Jimmy","Panetta, Jimmy","Panetta, Jimmy",RepJimmyPanetta,CA20,D,94.13,Strong Dem,#277,0.33
"Pappas, Chris","Pappas, Chris","Pappas, Chris",RepChrisPappas,NH01,D,94.39,Leans Dem,#235,0.4
"Pascrell, Bill","Pascrell, Bill","Pascrell, Bill",BillPascrell,NJ09,D,90.99,Strong Dem,#303,0.3
"Payne, Donald","Payne, Donald","Payne, Donald",RepDonaldPayne,NJ10,D,97.37,Strong Dem,#377,0.22
"Pelosi, Nancy","Pelosi, Nancy3","Pelosi, Nancy",SpeakerPelosi,CA12,D,94.97,Strong Dem,#247,0.36
"Peltola, Mary","Peltola, Mary",,TBD,AK00,D,100.0,Strong Rep,,
"Pence, Greg","Pence, Greg","Pence, Greg",RepGregPence,IN06,R,3.44,Strong Rep,#142,0.65
"Perlmutter, Ed","Perlmutter, Ed","Perlmutter, Ed",RepPerlmutter,CO07,D,90.44,Strong Dem,#271,0.34
"Perry, Scott","Perry, Scott","Perry, Scott",RepScottPerry,PA10,R,3.88,Leans Rep,#27,0.82
"Peters, Scott","Peters, Scott","Peters, Scott",RepScottPeters,CA52,D,86.32,Strong Dem,#245,0.37
"Pfluger, August","Pfluger, August",,RepPfluger,TX11,R,0.19,Strong Rep,,
"Phillips, Dean","Phillips, Dean","Phillips, Dean",RepDeanPhillips,MN03,D,95.81,Strong Dem,#194,0.54
"Pingree, Chellie","Pingree, Chellie","Pingree, Chellie",chelliepingree,ME01,D,97.28,Strong Dem,#344,0.26
"Plaskett, Stacey",,,StaceyPlaskett,VI00,D,,,,
"Pocan, Mark","Pocan, Mark","Pocan, Mark",repmarkpocan,WI02,D,99.03,Strong Dem,#399,0.17
"Porter, Katie","Porter, Katie","Porter, Katie",RepKatiePorter,CA45,D,95.62,Leans Dem,#359,0.24
"Posey, Bill","Posey, Bill","Posey, Bill",congbillposey,FL08,R,6.03,Strong Rep,#16,0.86
"Pressley, Ayanna","Pressley, Ayanna","Pressley, Ayanna",RepPressley,MA07,D,98.15,Strong Dem,#433,0.05
"Price, David","Price, David","Price, David",RepDavidEPrice,NC04,D,91.25,Strong Dem,#313,0.29
"Quigley, Mike","Quigley, Mike","Quigley, Mike",RepMikeQuigley,IL05,D,94.52,Strong Dem,#341,0.26
"Radewagen, Aumua Amata",,,RepAmata,AS00,R,,,,
"Raskin, Jamie","Raskin, Jamie","Raskin, Jamie",RepRaskin,MD08,D,99.21,Strong Dem,#409,0.15
"Reschenthaler, Guy","Reschenthaler, Guy","Reschenthaler, Guy",GReschenthaler,PA14,R,7.03,Strong Rep,#39,0.79
"Rice, Kathleen","Rice, Kathleen","Rice, Kathleen",RepKathleenRice,NY04,D,92.53,Strong Dem,#228,0.42
"Rice, Tom","Rice, Tom","Rice, Tom",RepTomRice,SC07,R,3.91,Strong Rep,#141,0.66
"Rodgers, Cathy","McMorris Rodgers, Cathy","Mcmorris, Cathy",cathymcmorris,WA05,R,4.15,Strong Rep,#58,0.75
"Rogers, Hal","Rogers, Hal","Rogers, Harold",RepHalRogers,KY05,R,7.27,Strong Rep,#192,0.54
"Rogers, Mike","Rogers, Mike","Rogers, Mike",RepMikeRogersAL,AL03,R,6.56,Strong Rep,#162,0.62
"Rose, John","Rose, John","Rose, John",RepJohnRose,TN06,R,1.56,Strong Rep,#164,0.61
"Rosendale, Matthew","Rosendale, Matt",,RepRosendale,MT00,R,4.1,Strong Rep,,
"Ross, Deborah","Ross, Deborah",,RepDeborahRoss,NC02,D,96.32,Strong Dem,,
"Rouzer, David","Rouzer, David","Rouzer, David",RepDavidRouzer,NC07,R,1.99,Strong Rep,#25,0.82
"Roy, Chip","Roy, Chip","Roy, Chip",RepChipRoy,TX21,R,6.85,Leans Rep,#118,0.68
"Roybal-Allard, Lucille","Roybal-Allard, Lucille",,RepRoybalAllard,CA40,D,95.63,Strong Dem,,
"Ruiz, Raul","Ruiz, Raul","Ruiz, Raul",RepRaulRuizMD,CA36,D,89.65,Strong Dem,#249,0.36
"Ruppersberger, Dutch","Ruppersberger, Dutch",,Call_Me_Dutch,MD02,D,88.64,Strong Dem,,
"Rush, Bobby","Rush, Bobby","Rush, Bobby",RepBobbyRush,IL01,D,94.23,Strong Dem,#384,0.21
"Rutherford, John","Rutherford, John","Rutherford, John",RepRutherfordFL,FL04,R,5.78,Strong Rep,#40,0.78
"Ryan, Pat","Ryan, Pat",,RepPatRyanNY,NY19,D,100.0,Swing,,
"Ryan, Tim","Ryan, Tim","Ryan, Tim",RepTimRyan,OH13,D,92.47,Swing,#260,0.35
"Sablan, Gregorio",,,Kilili_Sablan,MP00,D,,,,
"Salazar, Maria","Salazar, Maria",,RepMariaSalazar,FL27,R,14.72,Swing,,
"San Nicolas, Michael",,,GuamCongressman,GU00,D,,,,
"Sánchez, Linda","Sanchez, Linda","Sanchez, Linda",RepLindaSanchez,CA38,D,97.36,Strong Dem,#362,0.24
"Sarbanes, John","Sarbanes, John","Sarbanes, John",RepSarbanes,MD03,D,96.88,Strong Dem,#354,0.24
"Scalise, Steve","Scalise, Steve","Scalise, Steve",SteveScalise,LA01,R,1.73,Strong Rep,#170,0.59
"Scanlon, Mary","Scanlon, Mary Gay","Scanlon, Mary",RepMGS,PA05,D,97.93,Strong Dem,#392,0.19
"Schakowsky, Janice","Schakowsky, Jan","Schakowsky, Janice",RepSchakowsky,IL09,D,98.18,Strong Dem,#432,0.06
"Schiff, Adam","Schiff, Adam","Schiff, Adam",RepAdamSchiff,CA28,D,93.31,Strong Dem,#367,0.23
"Schneider, Brad","Schneider, Brad","Schneider, Bradley",RepSchneider,IL10,D,88.38,Strong Dem,#259,0.35
"Schrader, Kurt","Schrader, Kurt","Schrader, Kurt",RepSchrader,OR05,D,83.7,Leans Dem,#216,0.45
"Schrier, Kim","Schrier, Kim","Schrier, Kim",RepKimSchrier,WA08,D,94.46,Leans Dem,#254,0.35
"Schweikert, David","Schweikert, Dave","Schweikert, David",RepDavid,AZ06,R,4.74,Leans Rep,#106,0.7
"Scott, Austin","Scott, Austin","Scott, Austin",AustinScottGA08,GA08,R,1.93,Strong Rep,#110,0.69
"Scott, David","Scott, David","Scott, David",repdavidscott,GA13,D,88.82,Strong Dem,#282,0.32
"Scott, Bobby","Scott, Bobby","Scott, Robert",BobbyScott,VA03,D,92.59,Strong Dem,#358,0.24
"Sempolinski, Joe","Sempolinski, Joe",,RepSempolinski,NY23,R,14.29,Strong Rep,,
"Sessions, Pete","Sessions, Pete",,PeteSessions,TX17,R,1.58,Strong Rep,,
"Sewell, Terri","Sewell, Terri","Sewell, Terri",RepTerriSewell,AL07,D,90.29,Strong Dem,#281,0.32
"Sherman, Brad","Sherman, Brad","Sherman, Brad",BradSherman,CA30,D,91.36,Strong Dem,#269,0.34
"Sherrill, Mikie","Sherrill, Mikie","Sherrill, Mikie",RepSherrill,NJ11,D,92.85,Leans Dem,#239,0.38
"Simpson, Mike","Simpson, Mike","Simpson, Michael",CongMikeSimpson,ID02,R,9.11,Strong Rep,#191,0.55
"Sires, Albio","Sires, Albio","Sires, Albio",RepSires,NJ08,D,94.28,Strong Dem,#315,0.29
"Slotkin, Elissa","Slotkin, Elissa","Slotkin, Elissa",RepSlotkin,MI08,D,90.02,Swing,#227,0.42
"Smith, Adam","Smith, Adam","Smith, Adam",RepAdamSmith,WA09,D,87.77,Strong Dem,#395,0.18
"Smith, Adrian","Smith, Adrian","Smith, Adrian",RepAdrianSmith,NE03,R,2.05,Strong Rep,#143,0.65
"Smith, Christopher","Smith, Chris","Smith, Christopher",No official,NJ04,R,20.88,Strong Rep,#177,0.57
"Smith, Jason","Smith, Jason","Smith, Jason",RepJasonSmith,MO08,R,1.49,Strong Rep,#78,0.73
"Smucker, Lloyd","Smucker, Lloyd","Smucker, Lloyd",RepSmucker,PA11,R,3.84,Strong Rep,#117,0.68
"Soto, Darren","Soto, Darren","Soto, Darren",RepDarrenSoto,FL09,D,95.68,Leans Dem,#323,0.28
"Spanberger, Abigail","Spanberger, Abigail","Spanberger, Abigail",RepSpanberger,VA07,D,89.24,Swing,#201,0.5
"Spartz, Victoria","Spartz, Victoria",,RepSpartz,IN05,R,4.54,Leans Rep,,
"Speier, Jackie","Speier, Jackie","Speier, Jackie",RepSpeier,CA14,D,95.45,Strong Dem,#379,0.21
"Stansbury, Melanie",,,Rep_Stansbury,NM01,,,,,
"Stanton, Greg","Stanton, Greg","Stanton, Greg",RepGregStanton,AZ09,D,96.14,Strong Dem,#223,0.43
"Stauber, Pete","Stauber, Pete","Stauber, Pete",RepPeteStauber,MN08,R,12.9,Strong Rep,#100,0.7
"Steel, Michelle","Steele, Michelle",,RepSteel,CA48,R,6.69,Swing,,
"Stefanik, Elise","Stefanik, Elise","Stefanik, Elise",RepStefanik,NY21,R,14.75,Strong Rep,#54,0.76
"Steil, Bryan","Steil, Bryan","Steil, Bryan",RepBryanSteil,WI01,R,6.82,Strong Rep,#156,0.63
"Steube, W.","Steube, Greg","Steube, Gregory",RepGregSteube,FL17,R,2.56,Strong Rep,#9,0.91
"Stevens, Haley","Stevens, Haley","Stevens, Haley",RepHaleyStevens,MI11,D,95.64,Swing,#263,0.35
"Stewart, Chris","Stewart, Chris","Stewart, Chris",RepChrisStewart,UT02,R,2.81,Strong Rep,#95,0.7
"Strickland, Marilyn","Strickland, Marilyn",,RepStricklandWA,WA10,D,96.09,Strong Dem,,
"Suozzi, Thomas","Suozzi, Thomas","Suozzi, Thomas",RepTomSuozzi,NY03,D,91.49,Leans Dem,#267,0.34
"Swalwell, Eric","Swalwell, Eric","Swalwell, Eric",RepSwalwell,CA15,D,94.87,Strong Dem,#301,0.3
"Takano, Mark","Takano, Mark","Takano, Mark",RepMarkTakano,CA41,D,97.94,Strong Dem,#412,0.14
"Taylor, Van","Taylor, Van","Taylor, Van",RepVanTaylor,TX03,R,3.46,Leans Rep,#144,0.65
"Tenney, Claudia","Tenney, Claudia",,RepTenney,NY22,R,4.54,Strong Rep,,
"Thompson, Bennie","Thompson, Bennie","Thompson, Bennie",BennieGThompson,MS02,D,91.49,Strong Dem,#400,0.17
"Thompson, Glenn","Thompson, Glenn","Thompson, Glenn",CongressmanGT,PA15,R,8.2,Strong Rep,#74,0.74
"Thompson, Mike","Thompson, Mike","Thompson, Mike",RepThompson,CA05,D,92.38,Strong Dem,#290,0.3
"Tiffany, Thomas","Tiffany, Tom","Tiffany, Thomas",RepTiffany,WI07,R,2.24,Strong Rep,#174,0.58
"Timmons, William","Timmons, William","Timmons, William",RepTimmons,SC04,R,1.37,Strong Rep,#111,0.69
"Titus, Dina","Titus, Dina","Titus, Dina",repdinatitus,NV01,D,94.5,Strong Dem,#334,0.26
"Tlaib, Rashida","Tlaib, Rashida","Tlaib, Rashida",RepRashida,MI13,D,97.32,Strong Dem,#430,0.08
"Tonko, Paul","Tonko, Paul","Tonko, Paul",RepPaulTonko,NY20,D,96.71,Strong Dem,#312,0.29
"Torres, Norma","Torres, Norma","Torres, Norma",NormaJTorres,CA35,D,95.33,Strong Dem,#337,0.26
"Torres, Ritchie","Torres, Ritchie",,RepRitchie,NY15,D,99.08,Strong Dem,,
"Trahan, Lori","Trahan, Lori","Trahan, Lori",RepLoriTrahan,MA03,D,98.49,Strong Dem,#338,0.26
"Trone, David","Trone, David","Trone, David",RepDavidTrone,MD06,D,95.37,Strong Dem,#275,0.33
"Turner, Michael","Turner, Mike","Turner, Michael",RepMikeTurner,OH10,R,11.02,Leans Rep,#108,0.69
"Underwood, Lauren","Underwood, Lauren","Underwood, Lauren",RepUnderwood,IL14,D,96.14,Swing,#298,0.3
"Upton, Fred","Upton, Fred","Upton, Fred",RepFredUpton,MI06,R,14.45,Leans Rep,#188,0.55
"Valadao, David","Valadao, David",,RepDavidValadao,CA21,R,8.19,Leans Dem,,
"Van Drew, Jefferson","Van Drew, Jeff","Van, Jefferson",No official,NJ02,R,42.47,Leans Rep,#160,0.62
"Van Duyne, Beth","Van Duyne, Beth",,RepBethVanDuyne,TX24,R,1.48,Leans Dem,,
"Vargas, Juan","Vargas, Juan","Vargas, Juan",RepJuanVargas,CA51,D,94.97,Strong Dem,#361,0.24
"Veasey, Marc","Veasey, Mark","Veasey, Marc",RepVeasey,TX33,D,93.14,Strong Dem,#287,0.31
"Velázquez, Nydia","Velazquez, Nydia","Velazquez, Nydia",NydiaVelazquez,NY07,D,97.02,Strong Dem,#410,0.15
"Wagner, Ann","Wagner, Ann","Wagner, Ann",RepAnnWagner,MO02,R,4.05,Swing,#51,0.77
"Walberg, Tim","Walberg, Timothy","Walberg, Tim",RepWalberg,MI07,R,2.42,Strong Rep,#130,0.67
"Walorski, Jackie","Yakym III, Rudy",,RepWalorski,IN02,R,33.33,Strong Rep,,
"Waltz, Michael","Waltz, Michael","Waltz, Michael",RepWaltzPress,FL06,R,8.24,Strong Rep,#56,0.76
"Wasserman Schultz, Debbie","Wasserman Schultz, Debbie","Wasserman, Debbie",RepDWStweets,FL23,D,94.06,Strong Dem,#363,0.23
"Waters, Maxine","Waters, Maxine","Waters, Maxine",RepMaxineWaters,CA43,D,95.8,Strong Dem,#388,0.2
"Watson Coleman, Bonnie","Watson Coleman, Bonnie","Watson, Bonnie",RepBonnie,NJ12,D,98.84,Strong Dem,#424,0.1
"Weber, Randy","Weber, Randy","Weber, Randy",TXRandy14,TX14,R,1.88,Strong Rep,#2,0.94
"Webster, Daniel","Webster, Dan","Webster, Daniel",RepWebster,FL11,R,3.82,Strong Rep,#151,0.64
"Welch, Peter","Welch, Peter","Welch, Peter",PeterWelch,VT00,D,96.29,Strong Dem,#308,0.29
"Wenstrup, Brad","Wenstrup, Brad","Wenstrup, Brad",RepBradWenstrup,OH02,R,2.2,Strong Rep,#68,0.74
"Westerman, Bruce","Westerman, Bruce","Westerman, Bruce",RepWesterman,AR04,R,1.3,Strong Rep,#79,0.73
"Wexton, Jennifer","Wexton, Jennifer","Wexton, Jennifer",RepWexton,VA10,D,95.48,Strong Dem,#297,0.3
"Wild, Susan","Wild, Susan","Wild, Susan",RepSusanWild,PA07,D,94.17,Swing,#305,0.29
"Williams, Nikema","Williams, Nikema",,RepNikema,GA05,D,99.45,Strong Dem,,
"Williams, Roger","Williams, Roger","Williams, Roger",RepRWilliams,TX25,R,1.56,Strong Rep,#93,0.71
"Wilson, Frederica","Wilson, Frederica","Wilson, Frederica",RepWilson,FL24,D,95.88,Strong Dem,#415,0.13
"Wilson, Joe","Wilson, Joe","Wilson, Joe",RepJoeWilson,SC02,R,2.22,Strong Rep,#61,0.75
"Wittman, Robert","Wittman, Rob","Wittman, Robert",RobWittman,VA01,R,4.77,Leans Rep,#75,0.74
"Womack, Steve","Womack, Steve","Womack, Steve",rep_stevewomack,AR03,R,5.09,Strong Rep,#157,0.63
"Yarmuth, John","Yarmuth, John","Yarmuth, John",RepJohnYarmuth,KY03,D,96.14,Strong Dem,#311,0.29
"Zeldin, Lee","Zeldin, Lee","Zeldin, Lee",RepLeeZeldin,NY01,R,7.89,Leans Rep,#153,0.63
"Baldwin, Tammy","Baldwin, Tammy","Baldwin, Tammy",SenatorBaldwin,WI,D,95.27,Swing,#86,0.21
"Barrasso, John","Barrasso, John","Barrasso, John",SenJohnBarrasso,WY,R,2.51,Strong Rep,#17,0.88
"Bennet, Michael","Bennet, Michael","Bennet, Michael",SenatorBennet,CO,D,88.85,Strong Dem,#67,0.32
"Blackburn, Marsha","Blackburn, Marsha","Blackburn, Marsha",MarshaBlackburn,TN,R,1.45,Strong Rep,#1,1.0
"Blumenthal, Richard","Blumenthal, Richard","Blumenthal, Richard",SenBlumenthal,CT,D,96.42,Strong Dem,#93,0.13
"Blunt, Roy","Blunt, Roy","Blunt, Roy",RoyBlunt,MO,R,11.63,Strong Rep,#25,0.83
"Booker, Cory  ","Booker, Cory","Booker, Cory",CoryBooker,NJ,D,97.85,Strong Dem,#96,0.09
"Boozman, John","Boozman, John","Boozman, John",JohnBoozman,AR,R,3.46,Strong Rep,#20,0.84
"Braun, Mike","Braun, Michael","Braun, Mike",SenatorBraun,IN,R,1.5,Strong Rep,#3,0.95
"Brown, Sherrod","Brown, Sherrod","Brown, Sherrod",SenSherrodBrown,OH,D,96.7,Strong Rep,#92,0.16
"Burr, Richard","Burr, Richard","Burr, Richard",SenatorBurr,NC,R,7.43,Leans Rep,#50,0.65
"Cantwell, Maria","Cantwell, Maria","Cantwell, Maria",SenatorCantwell,WA,D,93.18,Strong Dem,#65,0.34
"Capito, Shelley Moore","Capito, Shelley","Capito, Shelley",SenCapito,WV,R,12.9,Strong Rep,#36,0.76
"Cardin, Ben","Cardin, Ben","Cardin, Benjamin",SenatorCardin,MD,D,94.22,Strong Dem,#72,0.29
"Carper, Tom","Carper, Tom",,SenatorCarper,DE,D,84.28,Strong Dem,,
"Casey, Bob","Casey, Bob",,SenBobCasey,PA,D,91.54,Swing,,
"Cassidy, Bill","Cassidy, Bill","Cassidy, Bill",SenBillCassidy,LA,R,6.89,Strong Rep,#32,0.8
"Collins, Susan","Collins, Susan","Collins, Susan",SenatorCollins,ME,R,38.38,Leans Dem,#53,0.61
"Coons, Chris","Coons, Chris","Coons, Christopher",ChrisCoons,DE,D,89.35,Strong Dem,#61,0.42
"Cornyn, John","Cornyn, John","Cornyn, John",JohnCornyn,TX,R,5.55,Leans Rep,#13,0.9
"Cortez Masto, Catherine","Cortez Masto, Catherine","Cortez, Catherine",SenCortezMasto,NV,D,90.35,Swing,#71,0.29
"Cotton, Tom","Cotton, Tom","Cotton, Tom",SenTomCotton,AR,R,1.86,Strong Rep,#6,0.93
"Cramer, Kevin","Cramer, Kevin","Cramer, Kevin",SenKevinCramer,ND,R,5.61,Strong Rep,#2,0.97
"Crapo, Mike","Crapo, Mike","Crapo, Michael",MikeCrapo,ID,R,4.27,Strong Rep,#29,0.82
"Cruz, Ted","Cruz, Ted","Cruz, Ted",SenTedCruz,TX,R,2.46,Leans Rep,#4,0.94
"Daines, Steve","Daines, Steve","Daines, Steve",SteveDaines,MT,R,4.38,Strong Rep,#19,0.86
"Duckworth, Tammy","Duckworth, Tammy","Duckworth, Tammy",SenDuckworth,IL,D,92.05,Strong Dem,#74,0.27
"Durbin, Richard",,"Durbin, Richard",SenatorDurbin,IL,D,,,#89,0.19
"Ernst, Joni","Ernst, Joni","Ernst, Joni",SenJoniErnst,IA,R,3.92,Strong Rep,#7,0.92
"Feinstein, Dianne","Feinstein, Dianne","Feinstein, Dianne",SenFeinstein,CA,D,87.35,Strong Dem,#79,0.24
"Fischer, Deb","Fischer, Deb","Fischer, Deb",SenatorFischer,NE,R,3.48,Strong Rep,#30,0.81
"Gillibrand, Kirsten","Gillibrand, Kirsten","Gillibrand, Kirsten",SenGillibrand,NY,D,98.46,Strong Dem,#98,0.06
"Graham, Lindsey","Graham, Lindsey","Graham, Lindsey",LindseyGrahamSC,SC,R,14.5,Strong Rep,#45,0.69
"Grassley, Chuck","Grassley, Chuck","Grassley, Charles",ChuckGrassley,IA,R,8.71,Strong Rep,#40,0.73
